Timestamp,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9
12/30/2019 14:25:57,9,8,7,2,1,6,4,3,5
12/30/2019 14:26:52,8,7,3,4,2,1,6,9,5
12/30/2019 14:28:10,7,8,9,2,1,3,5,4,6
12/30/2019 14:28:25,8,9,6,2,1,5,4,3,7
12/30/2019 14:28:32,8,9,6,2,1,5,4,3,7
12/30/2019 14:29:20,8,9,7,2,1,4,6,3,5
12/30/2019 14:32:15,8,9,6,3,1,7,5,2,4
12/30/2019 14:32:44,8,7,3,4,2,1,6,9,5
12/30/2019 14:33:04,7,8,5,3,4,6,2,1,9
12/30/2019 14:33:53,8,9,6,3,1,4,5,2,7
12/30/2019 14:34:57,8,9,4,5,6,3,1,7,2
12/30/2019 14:38:33,8,9,4,3,1,6,5,2,7
12/30/2019 14:39:32,8,7,9,1,2,4,5,3,6
12/30/2019 14:41:02,7,8,9,1,2,6,5,3,4
12/30/2019 14:51:46,8,9,4,3,1,5,6,2,7
12/30/2019 14:59:19,9,8,3,4,1,5,6,7,2
12/30/2019 15:03:38,8,9,6,3,2,4,5,1,7
12/30/2019 15:03:49,9,7,6,4,2,5,3,1,8
12/30/2019 15:04:18,8,9,7,2,1,4,5,3,6
12/30/2019 15:04:51,6,1,7,3,8,4,2,5,9
12/30/2019 15:05:59,9,8,5,3,1,7,4,2,6
12/30/2019 15:06:04,8,9,7,3,4,2,6,5,1
12/30/2019 15:06:12,7,9,2,5,2,6,5,4,1
12/30/2019 15:08:05,8,9,7,3,2,5,4,1,7
12/30/2019 15:08:11,7,9,2,5,1,3,8,4,6
12/30/2019 15:09:49,8,9,4,3,2,7,5,1,6
12/30/2019 15:10:33,7,9,8,5,1,3,4,2,6
12/30/2019 15:14:09,9,8,2,7,3,6,4,1,5
12/30/2019 15:16:32,8,7,5,6,3,4,2,1,9
12/30/2019 15:18:06,8,9,4,3,2,5,7,1,6
12/30/2019 15:21:52,8,9,7,2,1,4,5,3,6
12/30/2019 15:22:10,8,9,6,4,1,2,3,7,5
12/30/2019 15:30:47,9,8,5,4,1,2,7,3,6
12/30/2019 15:33:00,7,9,2,8,1,6,4,3,5
12/30/2019 15:38:34,8,9,6,2,1,5,4,3,7
12/30/2019 15:40:34,9,8,7,2,1,4,6,3,5
12/30/2019 15:41:46,9,4,1,6,5,2,8,7,3
12/30/2019 15:47:16,9,8,6,3,2,5,4,1,7
12/30/2019 15:51:44,1,2,9,6,8,3,4,5,7
12/30/2019 15:57:25,8,9,6,3,1,5,4,2,7
12/30/2019 15:58:06,8,9,5,6,1,4,3,2,7
12/30/2019 15:58:15,8,9,6,4,1,3,5,2,7
12/30/2019 16:00:34,9,8,5,3,1,2,7,6,4
12/30/2019 16:00:50,4,9,7,4,3,1,6,2,8
12/30/2019 16:08:26,8,9,5,7,3,1,4,2,6
12/30/2019 16:09:54,8,9,7,2,1,4,6,3,5
12/30/2019 16:10:47,8,9,7,2,1,4,6,3,5
12/30/2019 16:10:56,8,7,3,4,1,5,6,2,9
12/30/2019 16:17:51,9,8,6,3,2,4,5,1,7
12/30/2019 16:20:35,8,9,7,5,4,6,3,1,2
12/30/2019 16:21:06,7,9,5,1,2,4,6,3,8
12/30/2019 16:24:13,8,9,6,2,1,4,5,3,7
12/30/2019 16:25:31,8,9,3,6,5,4,7,1,2
12/30/2019 16:29:48,9,7,5,2,4,5,3,1,8
12/30/2019 16:38:22,9,7,1,4,2,3,8,5,6
12/30/2019 16:38:40,9,8,7,5,1,2,6,3,4
12/30/2019 16:39:59,9,8,7,4,1,5,2,3,6
12/30/2019 16:40:02,8,9,7,4,2,6,3,1,5
12/30/2019 16:40:08,9,8,7,2,1,3,4,5,6
12/30/2019 16:40:47,7,8,4,2,1,5,6,3,9
12/30/2019 16:41:29,9,8,7,5,4,3,6,1,2
12/30/2019 16:41:35,9,8,7,5,4,3,6,1,2
12/30/2019 16:43:31,9,7,5,3,2,2,4,1,2
12/30/2019 16:50:00,8,7,9,3,2,4,5,1,6
12/30/2019 16:51:00,8,9,4,2,1,3,6,7,5
12/30/2019 16:51:56,9,7,8,3,1,5,4,2,6
12/30/2019 16:52:25,8,9,7,1,2,5,4,3,6
12/30/2019 16:53:28,8,9,7,1,2,4,5,3,6
12/30/2019 16:55:32,8,9,7,4,1,6,5,2,3
12/30/2019 16:56:25,8,9,7,4,1,6,5,2,3
12/30/2019 16:56:30,8,9,2,4,3,1,5,6,7
12/30/2019 17:07:00,8,9,2,6,3,4,5,7,1
12/30/2019 17:09:08,8,9,7,5,1,3,4,2,6
12/30/2019 17:12:29,8,7,9,3,2,5,4,1,6
12/30/2019 17:17:32,8,9,7,4,5,3,2,1,6
12/30/2019 17:23:14,8,9,7,2,1,4,5,6,3
12/30/2019 17:35:26,8,9,6,5,2,7,4,1,3
12/30/2019 17:39:04,9,7,1,4,2,5,8,3,6
12/30/2019 17:40:20,5,9,3,6,1,2,4,8,7
12/30/2019 17:43:42,6,7,2,3,1,3,3,4,1
12/30/2019 17:44:47,9,8,7,6,2,5,1,4,3
